code,year,age,asfr,source
ALB,1963,45,0.08058,hfc
ALB,1963,46,0.05989,hfc
ALB,1963,47,0.04004,hfc
ALB,1963,48,0.02352,hfc
ALB,1963,49,0.01313,hfc
ALB,1963,50,0.00585,hfc
ALB,1964,14,0,hfc
ALB,1964,15,0,hfc
ALB,1964,16,9e-5,hfc
ALB,1964,17,0.0062,hfc
ALB,1964,18,0.05031,hfc
ALB,1964,19,0.14011,hfc
ALB,1964,20,0.22495,hfc
ALB,1964,21,0.27302,hfc
ALB,1964,22,0.28894,hfc
ALB,1964,23,0.28788,hfc
ALB,1964,24,0.2813,hfc
ALB,1964,25,0.27494,hfc
ALB,1964,26,0.27055,hfc
ALB,1964,27,0.26772,hfc
ALB,1964,28,0.26517,hfc
ALB,1964,29,0.2615,hfc
ALB,1964,30,0.25565,hfc
ALB,1964,31,0.24709,hfc
ALB,1964,32,0.23589,hfc
ALB,1964,33,0.2226,hfc
ALB,1964,34,0.20804,hfc
ALB,1964,35,0.19317,hfc
ALB,1964,36,0.17884,hfc
ALB,1964,37,0.1657,hfc
ALB,1964,38,0.15405,hfc
ALB,1964,39,0.14385,hfc
ALB,1964,40,0.13462,hfc
ALB,1964,41,0.12552,hfc
ALB,1964,42,0.11544,hfc
ALB,1964,43,0.1033,hfc
ALB,1964,44,0.08843,hfc
ALB,1964,45,0.07102,hfc
ALB,1964,46,0.05239,hfc
ALB,1964,47,0.03469,hfc
ALB,1964,48,0.02011,hfc
ALB,1964,49,0.01094,hfc
ALB,1964,50,0.00481,hfc
ALB,1965,14,0,hfc
ALB,1965,15,3e-5,hfc
ALB,1965,16,0.00177,hfc
ALB,1965,17,0.01779,hfc
ALB,1965,18,0.06479,hfc
ALB,1965,19,0.13251,hfc
ALB,1965,20,0.19516,hfc
ALB,1965,21,0.23837,hfc
ALB,1965,22,0.26196,hfc
ALB,1965,23,0.2716,hfc
ALB,1965,24,0.27305,hfc
ALB,1965,25,0.27027,hfc
ALB,1965,26,0.26544,hfc
ALB,1965,27,0.25945,hfc
ALB,1965,28,0.25249,hfc
ALB,1965,29,0.24446,hfc
ALB,1965,30,0.23519,hfc
ALB,1965,31,0.22464,hfc
ALB,1965,32,0.21291,hfc
ALB,1965,33,0.20025,hfc
ALB,1965,34,0.18701,hfc
ALB,1965,35,0.17358,hfc
ALB,1965,36,0.16036,hfc
ALB,1965,37,0.14764,hfc
ALB,1965,38,0.13563,hfc
ALB,1965,39,0.12443,hfc
ALB,1965,40,0.11398,hfc
ALB,1965,41,0.10412,hfc
ALB,1965,42,0.09459,hfc
ALB,1965,43,0.08509,hfc
ALB,1965,44,0.07533,hfc
ALB,1965,45,0.06511,hfc
ALB,1965,46,0.05444,hfc
ALB,1965,47,0.04357,hfc
ALB,1965,48,0.03298,hfc
ALB,1965,49,0.03262,hfc
ALB,1965,50,0.02288,hfc
ALB,1966,14,4.3e-4,hfc
ALB,1966,15,0.00321,hfc
ALB,1966,16,0.01092,hfc
ALB,1966,17,0.02979,hfc
ALB,1966,18,0.06331,hfc
ALB,1966,19,0.10972,hfc
ALB,1966,20,0.16169,hfc
ALB,1966,21,0.20998,hfc
ALB,1966,22,0.24758,hfc
ALB,1966,23,0.2715,hfc
ALB,1966,24,0.28233,hfc
ALB,1966,25,0.2827,hfc
ALB,1966,26,0.27587,hfc
ALB,1966,27,0.26484,hfc
ALB,1966,28,0.25192,hfc
ALB,1966,29,0.23864,hfc
ALB,1966,30,0.22587,hfc
ALB,1966,31,0.21397,hfc
ALB,1966,32,0.20289,hfc
ALB,1966,33,0.19236,hfc
ALB,1966,34,0.18199,hfc
ALB,1966,35,0.17135,hfc
ALB,1966,36,0.1601,hfc
ALB,1966,37,0.14801,hfc
ALB,1966,38,0.13504,hfc
ALB,1966,39,0.12131,hfc
ALB,1966,40,0.10711,hfc
ALB,1966,41,0.09285,hfc
ALB,1966,42,0.07896,hfc
ALB,1966,43,0.06588,hfc
ALB,1966,44,0.05394,hfc
ALB,1966,45,0.04337,hfc
ALB,1966,46,0.03429,hfc
ALB,1966,47,0.02668,hfc
ALB,1966,48,0.02044,hfc
ALB,1966,49,0.03699,hfc
ALB,1966,50,0.04158,hfc
